                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2011,                  3.654,                 1.3372,                0.00329,                0.98765,                0.25649,                0.18703,                      0,                    inf,                      0,                 0.0847,                 0.0017,                 0.0017
                      1,                0.88143,                 2.4365,                 1.0551,                      1,                0.48861,                0.92571,                0.74214,                      0,                    inf,                      0,               0.068465,              0.0034654,              0.0034654
                      2,                0.93405,                 1.5069,                 1.0217,                0.89931,                0.08642,                0.90784,                0.71219,                      0,                    inf,                      0,               0.052195,              0.0051951,              0.0051951
                      3,                 1.0203,                 1.3248,                 1.0685,                      1,                0.68588,                0.96493,                0.75466,                      0,                    inf,                      0,               0.035889,              0.0068891,              0.0068891
                      4,                 1.0173,                 1.2629,                 1.0515,                0.90623,                 0.8642,                0.94994,                0.66911,                      0,                    inf,                      0,               0.019548,              0.0085476,              0.0085476
                      5,                 1.0197,                 1.2126,                  1.074,                0.83287,                0.83951,                0.90375,                0.65196,                      0,                    inf,                      0,               0.009505,               0.009505,               0.009505
                      6,                0.97725,                 1.1823,                 1.0951,                0.86823,                0.73212,                0.88596,                0.68363,                      0,                    inf,                      0,               0.009505,               0.009505,               0.009505
                      7,                 1.0176,                 1.1613,                 1.0967,                0.89489,                0.91358,                0.94427,                0.63355,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                      8,                 1.0162,                 1.1588,                 1.0792,                0.89395,                0.93827,                0.93757,                0.66796,                      0,                    inf,                      0,               0.009307,               0.009307,               0.009307
                      9,                0.98364,                 1.0513,                 1.0774,                 0.9444,                 0.8642,                0.93601,                0.71123,                      0,                    inf,                      0,               0.009208,               0.009208,               0.009208
                     10,                0.97031,                 1.0139,                 1.0767,                0.90975,                 0.8712,                0.95731,                0.70509,                      0,                    inf,                      0,               0.009109,               0.009109,               0.009109
                     11,                0.98614,                0.98435,                 1.1104,                 0.9616,                0.92759,                0.97018,                0.73391,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                     12,                0.99119,                0.98999,                 1.1017,                0.91558,                0.93727,                  0.964,                0.67317,                      0,                    inf,                      0,               0.008911,               0.008911,               0.008911
                     13,                 1.0418,                0.97128,                 1.0938,                0.95138,                0.96628,                0.98335,                0.77131,                      0,                    inf,                      0,               0.008812,               0.008812,               0.008812
                     14,                0.95472,                0.92022,                 1.1206,                0.97367,                 0.9132,                0.97671,                0.77247,                      0,                    inf,                      0,               0.008713,               0.008713,               0.008713
